Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""CK1d""","""CK1d""","""CSNK1D""","""CSNK1D""","""casein kinase 1, delta""","""CSNK1D""","""casein kinase 1 delta""","""casein kinase 1, delta""",,"""HCKID"", ""CKID"", ""CKIdelta""","""Casein kinase I isoform delta""","""Tau-protein kinase CSNK1D""","""CSNK1D""","""HCKID""","""casein kinase 1 delta""","""ASPS"", ""CKI-delta"", ""CKId"", ""CKIdelta"", ""FASPS2"", ""HCKID"""
"""CK1e""","""CK1e""","""CSNK1E""","""CSNK1E""","""casein kinase 1, epsilon""","""CSNK1E""","""casein kinase 1 epsilon""","""casein kinase 1, epsilon""",,"""HCKIE"", ""CKIE"", ""CKIepsilon""","""Casein kinase I isoform epsilon""",,"""CSNK1E""",,"""casein kinase 1 epsilon""","""CKIe"", ""CKIepsilon"", ""HCKIE"""
"""CK1g2""","""CK1g2""","""CSNK1G2""","""CSNK1G2""","""casein kinase 1, gamma 2""","""CSNK1G2""","""casein kinase 1 gamma 2""","""casein kinase 1, gamma 2""",,"""CK1g2""","""Casein kinase I isoform gamma-2""",,"""CSNK1G2""","""CK1G2""","""casein kinase 1 gamma 2""","""CK1g2"""
"""CK1g3""","""CK1g3""","""CSNK1G3""","""CSNK1G3""","""casein kinase 1, gamma 3""","""CSNK1G3""","""casein kinase 1 gamma 3""","""casein kinase 1, gamma 3""",,,"""Casein kinase I isoform gamma-3""",,"""CSNK1G3""",,"""casein kinase 1 gamma 3""","""CKI-gamma 3"", ""CSNK1G3L"""
"""CK1g1""","""CK1g1""","""CSNK1G1""","""CSNK1G1""","""casein kinase 1, gamma 1""","""CSNK1G1""","""casein kinase 1 gamma 1""","""casein kinase 1, gamma 1""",,"""CK1gamma1""","""Casein kinase I isoform gamma-1""",,"""CSNK1G1""",,"""casein kinase 1 gamma 1""","""CK1gamma1"""
"""TTBK1""","""TTBK1""","""TTBK1""","""TTBK1""","""tau tubulin kinase 1""","""TTBK1""","""tau tubulin kinase 1""",,,"""KIAA1855""","""Tau-tubulin kinase 1""","""Brain-derived tau kinase""","""TTBK1""","""BDTK"", ""KIAA1855""","""tau tubulin kinase 1""","""BDTK"""
"""TTBK2""","""TTBK2""","""TTBK2""","""TTBK2""","""tau tubulin kinase 2""","""TTBK2""","""tau tubulin kinase 2""","""spinocerebellar ataxia 11""",,"""KIAA0847""","""Tau-tubulin kinase 2""",,"""TTBK2""","""KIAA0847""","""tau tubulin kinase 2""","""SCA11"", ""TTBK"""
"""VRK1""","""VRK1""","""VRK1""","""VRK1""","""vaccinia related kinase 1""","""VRK1""","""VRK serine/threonine kinase 1""","""vaccinia related kinase 1""",,,"""Serine/threonine-protein kinase VRK1""","""Vaccinia-related kinase 1""","""VRK1""",,"""VRK serine/threonine kinase 1""","""HMNR10"", ""PCH1"", ""PCH1A"""
"""VRK2""","""VRK2""","""VRK2""","""VRK2""","""vaccinia related kinase 2""","""VRK2""","""VRK serine/threonine kinase 2""","""vaccinia related kinase 2""",,,"""Serine/threonine-protein kinase VRK2""","""Vaccinia-related kinase 2""","""VRK2""",,"""VRK serine/threonine kinase 2""",
"""VRK3""","""VRK3""","""VRK3""","""VRK3""","""vaccinia related kinase 3""","""VRK3""","""VRK serine/threonine kinase 3""","""vaccinia related kinase 3""",,,"""Serine/threonine-protein kinase VRK3""","""Vaccinia-related kinase 3""","""VRK3""",,"""VRK serine/threonine kinase 3""",
"""CCRK""","""CCRK""","""CCRK""","""CCRK""","""cell cycle related kinase""","""CCRK""",,,,,"""Cyclin-dependent kinase 20""","""CDK-activating kinase p42"", ""Cell cycle-related kinase"", ""Cell division protein kinase 20"", ""Cyclin-dependent protein kinase H"", ""Cyclin-kinase-activating kinase p42""","""CDK20""","""CCRK"", ""CDCH""",,
"""CDC2""","""CDC2""","""CDC2""","""CDC2""","""cell division cycle 2, G1 to S and G2 to M""","""CDC2""",,,,,"""Cyclin-dependent kinase 1""","""Cell division control protein 2 homolog"", ""Cell division protein kinase 1"", ""p34 protein kinase""","""CDK1""","""CDC2"", ""CDC28A"", ""CDKN1"", ""P34CDC2""",,
"""CDK2""","""CDK2""","""CDK2""","""CDK2""","""cyclin-dependent kinase 2""","""CDK2""","""cyclin dependent kinase 2""",,,,"""Cyclin-dependent kinase 2""","""Cell division protein kinase 2"", ""p33 protein kinase""","""CDK2""","""CDKN2""","""cyclin dependent kinase 2""","""CDKN2"", ""p33(CDK2)"""
"""CDK3""","""CDK3""","""CDK3""","""CDK3""","""cyclin-dependent kinase 3""","""CDK3""","""cyclin dependent kinase 3""",,,,"""Cyclin-dependent kinase 3""","""Cell division protein kinase 3""","""CDK3""","""CDKN3""","""cyclin dependent kinase 3""",
"""CDK10""","""CDK10""","""CDK10""","""CDK10""","""cyclin-dependent kinase (CDC2-like) 10""","""CDK10""","""cyclin dependent kinase 10""","""cyclin-dependent kinase (CDC2-like) 10""",,"""PISSLRE""","""Cyclin-dependent kinase 10""","""Cell division protein kinase 10"", ""Serine/threonine-protein kinase PISSLRE""","""CDK10""",,"""cyclin dependent kinase 10""","""ALSAS"", ""PISSLRE"""
"""CDK4""","""CDK4""","""CDK4""","""CDK4""","""cyclin-dependent kinase 4""","""CDK4""","""cyclin dependent kinase 4""",,,"""PSK-J3""","""Cyclin-dependent kinase 4""","""Cell division protein kinase 4"", ""PSK-J3""","""CDK4""",,"""cyclin dependent kinase 4""","""CMM3"", ""PSK-J3"""
"""CDK6""","""CDK6""","""CDK6""","""CDK6""","""cyclin-dependent kinase 6""","""CDK6""","""cyclin dependent kinase 6""",,,"""PLSTIRE""","""Cyclin-dependent kinase 6""","""Cell division protein kinase 6"", ""Serine/threonine-protein kinase PLSTIRE""","""CDK6""","""CDKN6""","""cyclin dependent kinase 6""","""MCPH12"", ""PLSTIRE"""
"""CDK5""","""CDK5""","""CDK5""","""CDK5""","""cyclin-dependent kinase 5""","""CDK5""","""cyclin dependent kinase 5""",,,"""PSSALRE""","""Cyclin-dependent kinase 5""","""Cell division protein kinase 5"", ""Cyclin-dependent-like kinase 5"", ""Serine/threonine-protein kinase PSSALRE"", ""Tau protein kinase II catalytic subunit""","""CDK5""","""CDKN5"", ""PSSALRE""","""cyclin dependent kinase 5""","""LIS7"", ""PSSALRE"""
"""CDK7""","""CDK7""","""CDK7""","""CDK7""","""cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)""","""CDK7""","""cyclin dependent kinase 7""","""cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)"", ""cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)""",,"""CAK1"", ""CDKN7"", ""MO15"", ""STK1"", ""CAK""","""Cyclin-dependent kinase 7""","""39 kDa protein kinase"", ""CDK-activating kinase 1"", ""Cell division protein kinase 7"", ""Serine/threonine-protein kinase 1"", ""TFIIH basal transcription factor complex kinase subunit""","""CDK7""","""CAK"", ""CAK1"", ""CDKN7"", ""MO15"", ""STK1""","""cyclin dependent kinase 7""","""CAK"", ""CAK1"", ""CDKN7"", ""HCAK"", ""MO15"", ""STK1"", ""p39MO15"""
"""CDK8""","""CDK8""","""CDK8""","""CDK8""","""cyclin-dependent kinase 8""","""CDK8""","""cyclin dependent kinase 8""","""cyclin-dependent kinase 8""",,"""K35""","""Cyclin-dependent kinase 8""","""Cell division protein kinase 8"", ""Mediator complex subunit CDK8"", ""Mediator of RNA polymerase II transcription subunit CDK8"", ""Protein kinase K35""","""CDK8""",,"""cyclin dependent kinase 8""","""IDDHBA"", ""K35"""
"""CDK11""","""CDK11""","""CDC2L6""","""CDC2L6""","""cell division cycle 2-like 6 (CDK8-like)""","""CDC2L6""",,,,,"""Cyclin-dependent kinase 19""","""CDC2-related protein kinase 6"", ""Cell division cycle 2-like protein kinase 6"", ""Cell division protein kinase 19"", ""Cyclin-dependent kinase 11"", ""Death-preventing kinase""","""CDK19""","""CDC2L6"", ""CDK11"", ""KIAA1028""",,
"""CDK9""","""CDK9""","""CDK9""","""CDK9""","""cyclin-dependent kinase 9 (CDC2-related kinase)""","""CDK9""","""cyclin dependent kinase 9""","""cyclin-dependent kinase 9 (CDC2-related kinase)""",,"""PITALRE"", ""C-2k"", ""TAK""","""Cyclin-dependent kinase 9""","""C-2K"", ""Cell division cycle 2-like protein kinase 4"", ""Cell division protein kinase 9"", ""Serine/threonine-protein kinase PITALRE"", ""Tat-associated kinase complex catalytic subunit""","""CDK9""","""CDC2L4"", ""TAK""","""cyclin dependent kinase 9""","""C-2k"", ""CDC2L4"", ""CTK1"", ""PITALRE"", ""TAK"""
"""CHED""","""CHED""","""CDC2L5""","""CDC2L5""","""cell division cycle 2-like 5 (cholinesterase-related cell division controller)""","""CDC2L5""",,,,,"""Cyclin-dependent kinase 13""","""CDC2-related protein kinase 5"", ""Cell division cycle 2-like protein kinase 5"", ""Cell division protein kinase 13"", ""Cholinesterase-related cell division controller""","""CDK13""","""CDC2L"", ""CDC2L5"", ""CHED"", ""KIAA1791""",,
"""CRK7""","""CRK7""","""CRKRS""","""CRKRS""","""Cdc2-related kinase, arginine/serine-rich""","""CRKRS""",,,,,"""Cyclin-dependent kinase 12""","""Cdc2-related kinase, arginine/serine-rich"", ""Cell division cycle 2-related protein kinase 7"", ""Cell division protein kinase 12""","""CDK12""","""CRK7"", ""CRKRS"", ""KIAA0904""",,
"""PCTAIRE1""","""PCTAIRE1""","""PCTK1""","""PCTK1""","""PCTAIRE protein kinase 1""","""PCTK1""",,,,,"""Cyclin-dependent kinase 16""","""Cell division protein kinase 16"", ""PCTAIRE-motif protein kinase 1"", ""Serine/threonine-protein kinase PCTAIRE-1""","""CDK16""","""PCTAIRE1"", ""PCTK1""",,
"""PCTAIRE2""","""PCTAIRE2""","""PCTK2""","""PCTK2""","""PCTAIRE protein kinase 2""","""PCTK2""",,,,,"""Cyclin-dependent kinase 17""","""Cell division protein kinase 17"", ""PCTAIRE-motif protein kinase 2"", ""Serine/threonine-protein kinase PCTAIRE-2""","""CDK17""","""PCTAIRE2"", ""PCTK2""",,
"""PCTAIRE3""","""PCTAIRE3""","""PCTK3""","""PCTK3""","""PCTAIRE protein kinase 3""","""PCTK3""",,,,,"""Cyclin-dependent kinase 18""","""Cell division protein kinase 18"", ""PCTAIRE-motif protein kinase 3"", ""Serine/threonine-protein kinase PCTAIRE-3""","""CDK18""","""PCTAIRE3"", ""PCTK3""",,
"""PFTAIRE1""","""PFTAIRE1""","""PFTK1""","""PFTK1""","""PFTAIRE protein kinase 1""","""PFTK1""",,,,,"""Cyclin-dependent kinase 14""","""Cell division protein kinase 14"", ""Serine/threonine-protein kinase PFTAIRE-1""","""CDK14""","""KIAA0834"", ""PFTK1""",,
"""PFTAIRE2""","""PFTAIRE2""","""ALS2CR7""","""ALS2CR7""","""amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 7""","""ALS2CR7""",,,,,"""Cyclin-dependent kinase 15""","""Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein"", ""Cell division protein kinase 15"", ""Serine/threonine-protein kinase ALS2CR7"", ""Serine/threonine-protein kinase PFTAIRE-2""","""CDK15""","""ALS2CR7"", ""PFTK2""",,
"""PITSLRE""","""PITSLRE""","""CDC2L2""","""CDC2L2""","""cell division cycle 2-like 2 (PITSLRE proteins)""","""CDC2L2""",,,,,"""Cyclin-dependent kinase 11A""","""Cell division cycle 2-like protein kinase 2"", ""Cell division protein kinase 11A"", ""Galactosyltransferase-associated protein kinase p58/GTA"", ""PITSLRE serine/threonine-protein kinase CDC2L2""","""CDK11A""","""CDC2L2"", ""CDC2L3"", ""PITSLREB""","""cell division cycle 2-like 2 (PITSLRE proteins)""","""CDC2L3"", ""CDK11-p110"", ""CDK11-p46"", ""CDK11-p58"", ""PITSLRE"", ""p58GTA"""
"""CDKL5""","""CDKL5""","""CDKL5""","""CDKL5""","""cyclin-dependent kinase-like 5""","""CDKL5""","""cyclin dependent kinase like 5""","""serine/threonine kinase 9"", ""cyclin-dependent kinase-like 5""",,"""EIEE2"", ""CFAP247""","""Cyclin-dependent kinase-like 5""","""Serine/threonine-protein kinase 9""","""CDKL5""","""STK9""","""cyclin dependent kinase like 5""","""CFAP247"", ""DEE2"", ""EIEE2"", ""ISSX"", ""STK9"""
"""CDKL1""","""CDKL1""","""CDKL1""","""CDKL1""","""cyclin-dependent kinase-like 1 (CDC2-related kinase)""","""CDKL1""","""cyclin dependent kinase like 1""","""cyclin-dependent kinase-like 1 (CDC2-related kinase)""",,"""KKIALRE""","""Cyclin-dependent kinase-like 1""","""Protein kinase p42 KKIALRE"", ""Serine/threonine-protein kinase KKIALRE""","""CDKL1""",,"""cyclin dependent kinase like 1""","""KKIALRE"", ""P42"""
"""CDKL2""","""CDKL2""","""CDKL2""","""CDKL2""","""cyclin-dependent kinase-like 2 (CDC2-related kinase)""","""CDKL2""","""cyclin dependent kinase like 2""","""cyclin-dependent kinase-like 2 (CDC2-related kinase)""",,"""P56"", ""KKIAMRE""","""Cyclin-dependent kinase-like 2""","""Protein kinase p56 KKIAMRE"", ""Serine/threonine-protein kinase KKIAMRE""","""CDKL2""",,"""cyclin dependent kinase like 2""","""KKIAMRE"", ""P56"""
"""CDKL3""","""CDKL3""","""CDKL3""","""CDKL3""","""cyclin-dependent kinase-like 3""","""CDKL3""","""cyclin dependent kinase like 3""","""cyclin-dependent kinase-like 3""","""serine-threonine protein kinase NKIAMRE""","""NKIAMRE""","""Cyclin-dependent kinase-like 3""","""Serine/threonine-protein kinase NKIAMRE""","""CDKL3""","""NKIAMRE""","""cyclin dependent kinase like 3""","""NKIAMRE"""
"""CDKL4""","""CDKL4""","""CDKL4""","""CDKL4""","""cyclin-dependent kinase-like 4""","""CDKL4""","""cyclin dependent kinase like 4""","""cyclin-dependent kinase-like 4""",,,"""Cyclin-dependent kinase-like 4""",,"""CDKL4""",,"""cyclin dependent kinase like 4""",
"""CK2a1""","""CK2a1""","""CSNK2A1""","""CSNK2A1""","""casein kinase 2, alpha 1 polypeptide""","""CSNK2A1""","""casein kinase 2 alpha 1""","""casein kinase 2, alpha 1 polypeptide""","""Casein kinase II subunit alpha""","""Cka1"", ""Cka2""","""Casein kinase II subunit alpha""",,"""CSNK2A1""","""CK2A1""","""casein kinase 2 alpha 1""","""CK2A1"", ""CKII"", ""Cka1"", ""Cka2"", ""OCNDS"""
"""CK2a2""","""CK2a2""","""CSNK2A2""","""CSNK2A2""","""casein kinase 2, alpha prime polypeptide""","""CSNK2A2""","""casein kinase 2 alpha 2""","""casein kinase 2, alpha prime polypeptide""","""casein kinase 2 alpha'""","""CSNK2A1"", ""CK2alpha'""","""Casein kinase II subunit alpha'""",,"""CSNK2A2""","""CK2A2""","""casein kinase 2 alpha 2""","""CK2A2"", ""CK2alpha'"", ""CSNK2A1"""
"""CLK1""","""CLK1""","""CLK1""","""CLK1""","""CDC-like kinase 1""","""CLK1""","""CDC like kinase 1""","""CDC-like kinase 1""",,,"""Dual specificity protein kinase CLK1""","""CDC-like kinase 1""","""CLK1""","""CLK""","""CDC like kinase 1""","""CLK"", ""CLK/STY"", ""STY"""
"""CLK2""","""CLK2""","""CLK2""","""CLK2""","""CDC-like kinase 2""","""CLK2""","""CDC like kinase 2""","""CDC-like kinase 2""",,,"""Dual specificity protein kinase CLK2""","""CDC-like kinase 2""","""CLK2""",,"""CDC like kinase 2""",
"""CLK3""","""CLK3""","""CLK3""","""CLK3""","""CDC-like kinase 3""","""CLK3""","""CDC like kinase 3""","""CDC-like kinase 3""",,,"""Dual specificity protein kinase CLK3""","""CDC-like kinase 3""","""CLK3""",,"""CDC like kinase 3""","""PHCLK3"", ""PHCLK3/152"""
"""CLK4""","""CLK4""","""CLK4""","""CLK4""","""CDC-like kinase 4""","""CLK4""","""CDC like kinase 4""","""CDC-like kinase 4""",,,"""Dual specificity protein kinase CLK4""","""CDC-like kinase 4""","""CLK4""",,"""CDC like kinase 4""",
"""DYRK1A""","""DYRK1A""","""DYRK1A""","""DYRK1A""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A""","""DYRK1A""","""dual specificity tyrosine phosphorylation regulated kinase 1A""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A"", ""dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1A""",,,"""Dual specificity tyrosine-phosphorylation-regulated kinase 1A""","""Dual specificity YAK1-related kinase"", ""HP86"", ""Protein kinase minibrain homolog""","""DYRK1A""","""DYRK"", ""MNB"", ""MNBH""","""dual specificity tyrosine phosphorylation regulated kinase 1A""","""DYRK"", ""DYRK1"", ""HP86"", ""MNB"", ""MNBH"", ""MRD7"""
"""DYRK1B""","""DYRK1B""","""DYRK1B""","""DYRK1B""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B""","""DYRK1B""","""dual specificity tyrosine phosphorylation regulated kinase 1B""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B"", ""dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1B""","""minibrain-related kinase""","""MIRK""","""Dual specificity tyrosine-phosphorylation-regulated kinase 1B""","""Minibrain-related kinase"", ""Mirk protein kinase""","""DYRK1B""","""MIRK""","""dual specificity tyrosine phosphorylation regulated kinase 1B""","""AOMS3"", ""MIRK"""
"""DYRK3""","""DYRK3""","""DYRK3""","""DYRK3""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3""","""DYRK3""","""dual specificity tyrosine phosphorylation regulated kinase 3""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3"", ""dual specificity tyrosine-(Y)-phosphorylation regulated kinase 3""","""regulatory erythroid kinase"", ""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 5"", ""protein kinase Dyrk3""","""RED"", ""REDK"", ""hYAK3-2""","""Dual specificity tyrosine-phosphorylation-regulated kinase 3""","""Regulatory erythroid kinase""","""DYRK3""",,"""dual specificity tyrosine phosphorylation regulated kinase 3""","""DYRK5"", ""RED"", ""REDK"", ""hYAK3-2"""
"""DYRK2""","""DYRK2""","""DYRK2""","""DYRK2""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2""","""DYRK2""","""dual specificity tyrosine phosphorylation regulated kinase 2""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"", ""dual specificity tyrosine-(Y)-phosphorylation regulated kinase 2""",,,"""Dual specificity tyrosine-phosphorylation-regulated kinase 2""",,"""DYRK2""",,"""dual specificity tyrosine phosphorylation regulated kinase 2""",
"""DYRK4""","""DYRK4""","""DYRK4""","""DYRK4""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4""","""DYRK4""","""dual specificity tyrosine phosphorylation regulated kinase 4""","""dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4"", ""dual specificity tyrosine-(Y)-phosphorylation regulated kinase 4""",,,"""Dual specificity tyrosine-phosphorylation-regulated kinase 4""",,"""DYRK4""",,"""dual specificity tyrosine phosphorylation regulated kinase 4""",
"""HIPK3""","""HIPK3""","""HIPK3""","""HIPK3""","""homeodomain interacting protein kinase 3""","""HIPK3""","""homeodomain interacting protein kinase 3""","""homeodomain-interacting protein kinase 3""",,"""PKY"", ""DYRK6"", ""YAK1"", ""FIST3""","""Homeodomain-interacting protein kinase 3""","""Androgen receptor-interacting nuclear protein kinase"", ""Fas-interacting serine/threonine-protein kinase"", ""Homolog of protein kinase YAK1""","""HIPK3""","""DYRK6"", ""FIST3"", ""PKY""","""homeodomain interacting protein kinase 3""","""DYRK6"", ""FIST3"", ""PKY"", ""YAK1"""
"""HIPK2""","""HIPK2""","""HIPK2""","""HIPK2""","""homeodomain interacting protein kinase 2""","""HIPK2""","""homeodomain interacting protein kinase 2""","""homeodomain-interacting protein kinase 2""",,,"""Homeodomain-interacting protein kinase 2""",,"""HIPK2""",,"""homeodomain interacting protein kinase 2""","""PRO0593"""
"""HIPK4""","""HIPK4""","""HIPK4""","""HIPK4""","""homeodomain interacting protein kinase 4""","""HIPK4""","""homeodomain interacting protein kinase 4""",,,"""FLJ32818""","""Homeodomain-interacting protein kinase 4""",,"""HIPK4""",,"""homeodomain interacting protein kinase 4""",
"""HIPK1""","""HIPK1""","""HIPK1""","""HIPK1""","""homeodomain interacting protein kinase 1""","""HIPK1""","""homeodomain interacting protein kinase 1""",,,"""KIAA0630"", ""Myak"", ""MGC26642"", ""Nbak2"", ""MGC33446"", ""MGC33548""","""Homeodomain-interacting protein kinase 1""","""Nuclear body-associated kinase 2""","""HIPK1""","""KIAA0630"", ""MYAK"", ""NBAK2""","""homeodomain interacting protein kinase 1""","""Myak"", ""Nbak2"""
"""PRP4""","""PRP4""","""PRPF4B""","""PRPF4B""","""PRP4 pre-mRNA processing factor 4 homolog B (yeast)""","""PRPF4B""",,,,,,,,,,
"""GSK3A""","""GSK3A""","""GSK3A""","""GSK3A""","""glycogen synthase kinase 3 alpha""","""GSK3A""","""glycogen synthase kinase 3 alpha""",,,,"""Glycogen synthase kinase-3 alpha""","""Serine/threonine-protein kinase GSK3A""","""GSK3A""",,"""glycogen synthase kinase 3 alpha""",
"""GSK3B""","""GSK3B""","""GSK3B""","""GSK3B""","""glycogen synthase kinase 3 beta""","""GSK3B""","""glycogen synthase kinase 3 beta""",,,,"""Glycogen synthase kinase-3 beta""","""Serine/threonine-protein kinase GSK3B""","""GSK3B""",,"""glycogen synthase kinase 3 beta""",
"""Erk2""","""Erk2""","""MAPK1""","""MAPK1""","""mitogen-activated protein kinase 1""","""MAPK1""","""mitogen-activated protein kinase 1""",,"""Extracellular signal-regulated kinase 2""","""ERK"", ""ERK2"", ""p41mapk"", ""MAPK2""","""Mitogen-activated protein kinase 1""","""ERT1"", ""Extracellular signal-regulated kinase 2"", ""MAP kinase isoform p42"", ""Mitogen-activated protein kinase 2""","""MAPK1""","""ERK2"", ""PRKM1"", ""PRKM2""","""mitogen-activated protein kinase 1""","""ERK"", ""ERK-2"", ""ERK2"", ""ERT1"", ""MAPK2"", ""NS13"", ""P42MAPK"", ""PRKM1"", ""PRKM2"", ""p38"", ""p40"", ""p41"", ""p41mapk"", ""p42-MAPK"""
